Time,low_height_jump_2_left_shoulder_angle,low_height_jump_2_left_shoulder_angle_v,low_height_jump_2_left_shoulder_angle_a,low_height_jump_2_left_elbow_angle,low_height_jump_2_left_elbow_angle_v,low_height_jump_2_left_elbow_angle_a,low_height_jump_2_left_wrist_angle,low_height_jump_2_left_wrist_angle_v,low_height_jump_2_left_wrist_angle_a,low_height_jump_2_left_hip_angle,low_height_jump_2_left_hip_angle_v,low_height_jump_2_left_hip_angle_a,low_height_jump_2_left_knee_angle,low_height_jump_2_left_knee_angle_v,low_height_jump_2_left_knee_angle_a,low_height_jump_2_left_ankle_angle,low_height_jump_2_left_ankle_angle_v,low_height_jump_2_left_ankle_angle_a,low_height_jump_2_right_shoulder_angle,low_height_jump_2_right_shoulder_angle_v,low_height_jump_2_right_shoulder_angle_a,low_height_jump_2_right_elbow_angle,low_height_jump_2_right_elbow_angle_v,low_height_jump_2_right_elbow_angle_a,low_height_jump_2_right_wrist_angle,low_height_jump_2_right_wrist_angle_v,low_height_jump_2_right_wrist_angle_a,low_height_jump_2_right_hip_angle,low_height_jump_2_right_hip_angle_v,low_height_jump_2_right_hip_angle_a,low_height_jump_2_right_knee_angle,low_height_jump_2_right_knee_angle_v,low_height_jump_2_right_knee_angle_a,low_height_jump_2_right_ankle_angle,low_height_jump_2_right_ankle_angle_v,low_height_jump_2_right_ankle_angle_a,NeckAng,SpineAng,TailAng
2.375,74.393013,304.38684082,-10982.9453125,130.19322205,747.24609375,-22506.75585938,167.709198,160.22247314,-43979.3046875,72.8115387,173.69177246,16073.67480469,108.29817963,437.90237427,-28350.39453125,135.05700684,-67.38800049,-52987.8125,103.67947388,-776.11437988,-8581.33886719,132.13487244,-1041.44311523,-15873.72851563,123.91781616,-915.88116455,8306.19726563,86.66500092,371.25289917,8418.91796875,123.59356689,689.5826416,-47504.30078125,127.46543121,1017.82824707,-96340.171875,1.18483250869662,2.33139648113194,2.92109814379379
2.383333,76.72993469,206.4175415,-12221.16992188,136.0209198,547.66204834,-25467.4765625,168.92292786,-201.04248047,-37293.81640625,73.81651306,311.71051025,13336.14257813,112.72203064,206.63452148,-19615.078125,136.30209351,-470.7069397,-31863.390625,97.24177551,-833.68011475,-2871.88842773,123.21520233,-1165.50842285,-7980.21972656,115.07069397,-841.28955078,7897.57714844,89.49845886,439.45449829,7136.65087891,129.99240112,316.5133667,-35111.0234375,137.33261108,266.66061401,-68355.1015625,0.417304733807582,2.48219790778171,4.17428841528433
2.391667,78.81359863,108.44825745,-13459.39453125,141.08441162,348.07800293,-28428.19726563,168.03414917,-562.30743408,-30608.32617188,76.31047821,449.72924805,10598.61035156,114.77399445,-24.6333313,-10879.76074219,131.85804749,-874.02587891,-10738.97070313,90.85929871,-891.24584961,2837.56225586,114.80768585,-1289.57373047,-86.71142578,108.95276642,-766.69793701,7488.95751953,93.3503418,507.65609741,5854.38330078,132.93765259,-56.55593872,-22717.74609375,140.54318237,-484.50698853,-40370.03125,1.22089668054993,2.77193331249684,5.5927709650033
2.4,79.87320709,17.08305359,-14583.04296875,144.59028625,141.27471924,-30767.93945313,163.57691956,-732.32800293,-27281.78320313,81.49284363,474.98855591,11443.35253906,112.88532257,3.24058533,-8494.72460938,122.03643036,-808.91900635,3156.77392578,82.48468781,-846.90789795,8272.07421875,102.31546021,-1215.59777832,2884.33349609,104.05721283,-764.38964844,9240.26171875,97.72007751,537.31347656,4455.25341797,131.3881073,-154.88327026,-14753.95117188,132.71420288,-608.43756104,-20877.06054688,2.70677590984546,2.95034071064833,6.83205984524586
2.408333,79.35678864,-132.83233643,-14453.40136719,144.71574402,-170.32012939,-31673.87695313,153.54930115,-971.25,-16792.39257813,85.60216522,569.68395996,8099.10400391,110.03096771,-68.22219849,213.18261719,110.80582428,-771.18273926,29595.015625,74.65881348,-771.94775391,17528.71875,91.07538605,-1160.11083984,11387.45605469,97.48313141,-633.01605225,11646.97949219,102.71230316,595.30847168,1192.39868164,126.4322052,-272.66220093,140.55262756,121.49347687,-798.66162109,15459.20214844,4.3287249634435,2.7714215846412,8.04225430966963
2.416667,77.48304749,-285.54534912,-13394.95214844,141.20884705,-488.53796387,-30893.7421875,142.11912537,-1115.34069824,-8499.72851563,90.71886444,667.66876221,3352.06884766,109.81803894,-50.27755737,3085.20043945,103.17601776,-385.46401978,44844.39453125,67.92684937,-586.31945801,24892.74609375,80.13369751,-1049.32287598,16397.07226563,89.84789276,-552.91125488,16288.61523438,107.83331299,601.6385498,-2157.61743164,121.6624527,-181.75102234,8882.36230469,109.75382233,-476.12878418,36532.125,5.89367888490353,1.94016086441896,8.58991954649629
2.425,74.44600677,-403.65454102,-10609.42675781,135.64208984,-761.39398193,-27066.765625,133.15571594,-1129.94812012,-3031.20117188,96.08217621,728.91052246,-2833.82055664,110.88583374,37.84042358,2557.4609375,101.62008667,218.02619934,48321.00390625,63.05464935,-296.5355835,29563.1640625,74.07176208,-869.82556152,17677.53710938,86.67325592,-421.72540283,18265.23046875,113.27944946,559.94421387,-5966.70019531,119.47966766,17.39089966,11743.18554688,105.22486115,166.87309265,42737.55078125,7.34346438424255,0.803728069842686,8.46472881295862
2.433333,69.97629547,-471.47558594,-5783.03564453,127.13117981,-957.46368408,-20268.27929688,124.01532745,-1051.20324707,1829.92736816,101.55786896,685.04101563,-10470.33886719,111.88551331,102.16148376,3016.89257813,106.34577179,780.87194824,41792.9453125,62.11203766,12.78823853,31063.35742188,67.97476959,-672.43005371,18275.82617188,84.29672241,-194.26483154,18704.19140625,118.5821991,482.44552612,-9770.5,123.13446808,187.79876709,9838.84375,112.04673004,738.23205566,37461.5078125,8.72667455978763,1.64501844018588,8.2570625310015
2.441667,65.35076904,-496.25582886,-203.05389404,118.41042328,-1088.18762207,-12960.55175781,116.28942108,-985.18103027,4586.34033203,111.3345108,499.04180908,-18271.234375,112.40341187,90.834198,998.45910645,118.14883423,1117.06567383,21092.08398438,63.67053223,287.18756104,27193.98242188,62.53746414,-511.65951538,16954.6875,83.26081848,-6.86737061,20389.9921875,121.9876709,377.68280029,-11879.40722656,127.43875122,262.79922485,1699.11669922,125.52711487,1016.57824707,15965.36328125,10.0298290291967,2.80010328764529,9.33989906239857
2.45,60.89531708,-478.12304688,5215.21777344,108.43161774,-1159.42004395,-6368.55517578,107.84279633,-984.72460938,6135.73828125,115.12572479,292.00402832,-23271.20117188,113.41350555,58.69064331,-2942.09399414,132.42044067,1184.06591797,-4755.83398438,69.07569885,511.44195557,19170.10351563,58.60425186,-406.75921631,13984.70117188,84.16918945,112.79899597,18453.95507813,124.608078,259.74060059,-12230.72851563,131.55284119,219.53956604,-6743.55126953,141.88067627,969.34655762,-7794.59570313,11.215662607139,3.55122761493836,11.2489822049674
2.458333,57.26065826,-411.31604004,9999.87890625,98.61089325,-1179.54882813,-923.5925293,100.15407562,-975.13891602,6914.07714844,116.57254028,73.88038635,-21416.1640625,114.09062195,45.74249268,-6136.37792969,143.76431274,967.76983643,-25337.26171875,74.16122437,650.46118164,10084.69238281,56.1353569,-304.20901489,10984.96484375,86.59455872,265.40075684,13368.36425781,125.77263641,143.80966187,-11150.75585938,130.9692688,71.49139404,-11691.73046875,147.21482849,683.5269165,-21391.96484375,12.0734601591591,3.04421154749756,11.156511377831
2.466667,53.91923904,-296.2286377,13649.14355469,88.37906647,-1158.57043457,3678.30810547,92.34311676,-904.96801758,8110.98095703,111.36064148,-160.25169373,-15592.72460938,113.87272644,2.33070374,-7751.42089844,150.49212646,554.94598389,-35545.3203125,80.03368378,678.88342285,1500.09057617,54.77830505,-222.4196167,9222.42382813,88.63116455,417.54730225,9964.08886719,126.63470459,51.04598999,-9753.52734375,130.52201843,-101.60415649,-13356.1875,148.23330688,304.75265503,-23857.87695313,12.7003229100298,2.58075964513311,9.40607764690145
2.475,51.32147217,-153.07315063,15475.99804688,78.48244476,-1105.39648438,7794.82861328,82.86868286,-774.62109375,9573.62988281,110.43862152,-282.31628418,-10851.29980469,113.90225983,-100.40863037,-9683.67871094,152.4203186,110.65841675,-35599.8515625,86.59500885,617.80767822,-5527.99609375,53.23308945,-155.48667908,8488.60839844,91.97628784,468.01712036,7291.6796875,126.9074707,-9.37164307,-8508.84082031,129.05883789,-214.22988892,-12505.5859375,146.65670776,70.29006958,-19913.23828125,13.0984879362114,2.35556405001578,7.37802812591067
2.483333,50.36368942,2.70385742,15324.25292969,69.33643341,-1028.65942383,11737.1953125,76.90248871,-682.31500244,9392.26757813,108.59292603,-267.20574951,-5985.86621094,113.81113434,-200.69747925,-11546.49121094,150.15400696,-191.30783081,-27887.16796875,91.94934845,528.42578125,-9301.65234375,51.66951752,-98.67835999,8597.20117188,97.57707214,458.7253418,2493.88769531,125.94200897,-54.13200378,-6701.44580078,127.12961578,-265.83349609,-9760.15429688,146.72221375,43.78234863,-13777.55175781,13.037449572076,2.27931164835302,5.79221381279515
2.491667,51.58671951,136.04736328,13448.61132813,61.40982056,-919.27966309,15508.03515625,72.48989105,-610.60601807,8975.86328125,105.881073,-245.98609924,-958.17089844,111.52688599,-296.32324219,-10872.87597656,146.22233582,-334.33197021,-16620.55859375,96.19874573,417.47888184,-9438.33496094,50.73483276,-37.17525482,9687.77246094,103.48188019,484.4670105,-1278.85107422,125.3050766,-121.40769958,-4890.94042969,124.07138824,-330.22994995,-7374.04296875,147.74461365,42.2833252,-10064.15234375,12.9704951912746,1.9474496765101,5.25588289164074
2.5,53.95991898,237.62026978,10346.171875,53.87414932,-773.09002686,19197.55859375,70.60586548,-568.3170166,12135.09960938,103.91428375,-292.06375122,967.37243652,107.55565643,-401.79571533,-8126.60449219,140.86656189,-376.7565918,-7265.48925781,98.04914093,326.32196045,-7318.49560547,50.92522049,45.59215546,10799.59570313,105.54372406,481.89886475,-692.17773438,124.4834671,-178.35105896,-4083.41210938,121.31274414,-397.2019043,-6708.46142578,149.64224243,-18.60610962,-11454.41699219,12.6516715259273,1.76396300861247,5.90714619160465
2.508333,57.177742,308.55999756,6963.9765625,47.84157181,-589.31860352,22538.88671875,64.73271942,-528.06768799,19984.77539063,101.94017029,-295.89355469,669.12506104,103.71795654,-482.16271973,-5469.85449219,139.48623657,-377.22625732,-3231.58007813,99.92726898,274.92858887,-4508.80615234,51.83277512,155.99082947,11082.515625,108.13947296,423.27713013,1018.8369751,123.22088623,-185.88195801,-3528.94897461,117.98023987,-449.41848755,-6418.29394531,149.93234253,-170.20675659,-14937.41601563,12.5384923838257,1.10584843727015,4.17587013566166
2.516667,58.98265839,346.70498657,4484.09765625,42.91440964,-384.16348267,24873.07617188,59.2689743,-358.81802368,30483.65039063,98.73487854,-262.49450684,1518.55163574,99.30936432,-496.37115479,-2982.36547852,136.94671631,-364.25094604,-2881.03173828,101.72972107,265.93887329,-2013.33349609,53.35198593,273.81005859,10267.73632813,112.50336456,404.99963379,1420.12475586,120.35529327,-191.1214447,-3105.44433594,114.06874847,-499.93652344,-5546.34570313,147.78665161,-353.51806641,-16362.41210938,12.2405350230742,0.700562075754418,2.77577399786718
2.525,62.07866669,361.42926025,2724.4309082,40.97438431,-155.74554443,25362.15039063,53.2833252,-28.14331055,40939.31640625,96.37494659,-232.91618347,2957.18212891,95.27381134,-479.91204834,-543.38043213,134.86186218,-386.07458496,-3447.18237305,104.52015686,280.96572876,-706.88110352,55.68084335,361.58483887,8356.00390625,116.64188385,480.63964844,2823.46679688,118.172966,-217.24594116,-4415.85546875,109.17757416,-544.76672363,-4645.80761719,142.95606995,-513.38104248,-14637.76855469,11.9899481049719,1.22719196327714,2.19679757572925
2.533333,65.15119934,367.69680786,895.42175293,40.98165512,71.71661377,23403.078125,53.72649002,434.76516724,45480.0390625,93.88124847,-215.25108337,2709.77612305,90.66820526,-474.76669312,680.57769775,130.2467041,-457.14767456,-3581.6796875,107.0826416,285.37927246,-701.70910645,59.79588699,411.5362854,5514.75146484,120.1674881,537.10479736,4900.46826172,117.64599609,-256.82006836,-6767.07617188,104.61929321,-580.66436768,-3727.69018555,136.89477539,-622.34954834,-10953.40820313,11.6175040048371,2.15542413045294,3.35160507302855
2.541667,68.97497559,388.47653198,-876.58081055,42.57003403,283.60580444,19143.96679688,61.56134415,920.29125977,38055.671875,94.03993225,-191.27723694,1400.62145996,87.45830536,-474.51156616,474.77508545,126.0787735,-509.1348877,-2943.04638672,109.63305664,275.67651367,-1600.62158203,64.31768036,437.86090088,2736.02783203,123.63108826,557.36181641,4597.41943359,115.97949219,-321.81085205,-7943.40429688,99.1834259,-607.91992188,-2674.98291016,131.30368042,-678.66387939,-7437.37402344,11.1700448210884,3.23848180246287,5.14338063560048
2.55,72.16719055,385.32516479,-1965.13305664,46.15943527,435.07662964,13550.66113281,73.10546875,1313.79150391,21330.89648438,92.28634644,-168.80867004,539.86499023,83.74879456,-469.87884521,35.78674316,121.56012726,-528.30358887,-1556.12731934,111.66195679,249.8399353,-2231.87475586,68.09104919,448.72036743,1408.30810547,129.98545837,588.0045166,2662.87841797,113.40896606,-422.15133667,-7848.83935547,94.83058929,-625.37780762,-1765.69824219,126.13829803,-704.67218018,-4757.44189453,10.7595131131047,4.39388280632533,6.35402083328388
2.558333,74.7352066,346.19155884,-2852.21923828,50.31167603,511.40322876,7613.8828125,87.40150452,1439.42529297,1640.10253906,90.49539948,-176.72065735,-69.75158691,79.65859985,-469.26031494,-110.04852295,116.96212769,-502.03253174,-402.12738037,113.59315491,221.34033203,-2107.10839844,71.0535965,442.08404541,1607.07519531,135.03144836,621.96051025,1332.87109375,108.42588043,-505.88668823,-6599.36474609,88.95114136,-633.34014893,-930.07873535,120.39847565,-731.6628418,-2796.14624023,10.3674364479996,5.64057824332476,7.24161155370472
2.566667,78.40906525,296.62469482,-3799.15966797,56.42603302,525.75274658,2318.73876953,100.4822464,1223.94702148,-16340.69238281,88.62150574,-198.58032227,-1027.13134766,75.41519165,-471.72235107,-219.15283203,112.84841156,-484.86688232,-33.46160889,115.43299103,194.65538025,-1683.2989502,74.23927307,438.9642334,2208.9230957,140.62068176,626.76037598,-950.39428711,102.89765167,-547.49047852,-3670.91503906,83.76806641,-635.74572754,-151.26403809,114.19422913,-764.89068604,-1315.94726563,9.94470858712786,6.87538263782714,7.18988407894686
2.575,80.50376892,271.99700928,-3567.69628906,60.8032608,514.79180908,-708.89801025,112.52816772,917.41326904,-26729.78125,87.22322845,-201.87812805,-1490.45678711,71.32738495,-477.33508301,-169.78729248,108.75390625,-490.56396484,-291.63360596,116.94351196,194.41650391,-1268.75195313,78.42753601,470.36645508,2313.39941406,145.18901062,615.23712158,-4670.74511719,97.93041229,-563.91577148,-47.12554932,78.03910828,-637.88946533,518.90136719,106.97085571,-776.77685547,251.52038574,9.36757841171344,8.05903198965983,7.98161507184825
2.583333,82.3406601,248.02742004,-2302.453125,64.54733276,484.7230835,-1285.15869141,118.53721619,599.7713623,-23296.20898438,85.80347443,-213.02131653,-1303.22216797,67.65234375,-480.16647339,-79.715271,105.6708374,-518.74963379,-916.25610352,118.26609802,195.30067444,-839.90905762,82.586586,518.90087891,2208.85595703,150.10328674,578.73217773,-7643.84570313,94.04842377,-544.00671387,2625.66381836,73.06225586,-629.09552002,1049.37744141,100.22789764,-763.35394287,2241.60693359,8.6796665396131,8.9568310147885,8.90564182390088
2.591667,83.76889038,223.19732666,-1217.0970459,67.59844208,455.98373413,-372.87994385,116.63679504,376.54312134,-9376.16601563,84.13870239,-226.86660767,-1127.52185059,64.21025848,-480.60610962,78.07861328,101.2852478,-529.66455078,-785.94848633,119.53664398,190.33447266,-715.03356934,86.79418945,546.89538574,1822.35498047,155.48217773,471.96868896,-9493.82421875,90.10077667,-497.26403809,4696.48144531,68.00078583,-618.16583252,1976.06567383,93.73351288,-728.91162109,4340.80078125,7.82737721548767,9.82191650497065,8.42434391458042
2.6,85.84165955,223.43269348,-484.80224609,71.52770996,463.12698364,1128.97070313,120.1764679,322.74420166,4966.04736328,81.75498199,-235.14259338,-361.96228027,59.44893646,-471.78921509,937.47558594,96.10879517,-528.71612549,274.90234375,121.95857239,174.78294373,-1317.06433105,91.744133,533.29779053,428.26263428,160.41157532,356.36642456,-10782.50390625,85.21161652,-444.4942627,6788.48583984,62.74732971,-598.22827148,3967.77929688,88.40344238,-681.7701416,6320.18261719,6.96988170341728,10.2026484018107,7.23567276500973
2.608333,88.00205994,226.71615601,317.43087769,75.63819122,487.50106812,2668.11914063,118.94358826,531.84912109,14303.87207031,79.58071136,-246.96739197,1261.2175293,55.65106583,-473.96887207,2374.71728516,90.64064026,-525.74761963,1489.37866211,123.27254486,166.96731567,-2075.40942383,96.54327393,526.9465332,-1674.47851563,162.66783142,269.35287476,-10067.421875,81.1295166,-397.77496338,8321.9375,57.59883118,-577.75335693,6804.65966797,82.85993958,-626.38885498,8383.22949219,6.08212579272067,10.556867620894,6.18113570053776
